,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
305,Tanzanian Gold Corporation,TRX,$0.11 B,$0.39,2.57%,,🇨🇦 Canada
306,"Platinum Group Metals
",PLG,$0.11 B,$1.08,0.00%,,🇨🇦 Canada
307,POET Technologies,POET,$0.10 B,$2.70,5.26%,,🇨🇦 Canada
308,High Tide,HITI,$0.10 B,$1.45,4.32%,,🇨🇦 Canada
309,D-Wave Quantum,QBTS,$0.10 B,$0.72,12.44%,,🇨🇦 Canada
310,Laramide Resources,LAM.TO,$0.10 B,$0.45,5.08%,,🇨🇦 Canada
311,Vox Royalty,VOXR,$99.56 M,$2.02,0.49%,,🇨🇦 Canada
312,Bragg Gaming Group,BRAG,$98.51 M,$4.35,3.57%,,🇨🇦 Canada
313,Sangoma Technologies,SANG,$95.92 M,$2.87,0.00%,,🇨🇦 Canada
314,Forsys Metals,FSY.TO,$95.62 M,$0.49,4.62%,,🇨🇦 Canada
315,Velan,VLN.TO,$90.51 M,$4.20,0.17%,,🇨🇦 Canada
316,Mega Uranium,MGA.TO,$89.81 M,$0.25,9.52%,,🇨🇦 Canada
317,Westport Fuel Systems,WPRT,$87.67 M,$5.09,1.19%,,🇨🇦 Canada
318,"OrganiGram Holdings
",OGI,$86.17 M,$1.05,0.96%,,🇨🇦 Canada
319,"Milestone Pharmaceuticals
",MIST,$85.45 M,$2.56,8.94%,,🇨🇦 Canada
320,"Achieve Life Sciences
",ACHV,$84.84 M,$4.02,1.01%,,🇨🇦 Canada
321,illumin,ILLM,$84.09 M,$1.63,2.40%,,🇨🇦 Canada
322,Village Farms International,VFF,$79.37 M,$0.72,5.88%,,🇨🇦 Canada
323,"Trilogy Metals
",TMQ,$70.92 M,$0.46,1.94%,,🇨🇦 Canada
324,GreenPower Motor Company,GP,$70.12 M,$2.72,1.09%,,🇨🇦 Canada
325,Americas Gold and Silver Corp,USAS,$65.57 M,$0.24,21.85%,,🇨🇦 Canada
326,Sierra Metals,SMT.TO,$59.08 M,$0.28,1.25%,,🇨🇦 Canada
327,Xebec Adsorption,XBC.TO,$58.69 M,$0.38,0.00%,,🇨🇦 Canada
328,Meta Materials,MMAT,$57.85 M,$0.12,6.27%,,🇨🇦 Canada
329,A2Z Smart Technologies,AZ,$56.43 M,$1.53,7.83%,,🇨🇦 Canada
330,PyroGenesis Canada,PYR,$56.26 M,$0.30,7.72%,,🇨🇦 Canada
331,"Avino Silver & Gold Mines
",ASM,$54.91 M,$0.45,6.33%,,🇨🇦 Canada
332,Integra Resources,ITRG,$51.47 M,$0.74,0.98%,,🇨🇦 Canada
333,Fury Gold Mines,FURY,$47.35 M,$0.32,1.87%,,🇨🇦 Canada
334,Electra Meccanica,SOLO,$45.84 M,$0.38,3.92%,,🇨🇦 Canada
335,PopReach,POPR.V,$36.58 M,$0.13,0.00%,,🇨🇦 Canada
336,DIRTT Environmental Solutions,DRTT,$35.05 M,$0.33,0.00%,,🇨🇦 Canada
337,"Silver One Resources
",SVE.V,$33.5 M,$0.14,0.00%,,🇨🇦 Canada
338,Cielo Waste Solutions,CMC.V,$32.79 M,$0.04000,0.00%,,🇨🇦 Canada
339,"Mogo
",MOGO,$28.8 M,$1.15,5.50%,,🇨🇦 Canada
340,Draganfly,DPRO,$27.49 M,$0.60,2.78%,,🇨🇦 Canada
341,Akumin,AKU,$26.27 M,$0.29,0.00%,,🇨🇦 Canada
342,"Acasti Pharma
",ACST,$22.18 M,$2.36,0.00%,,🇨🇦 Canada
343,Theratechnologies,THTX,$21.78 M,$0.90,2.17%,,🇨🇦 Canada
344,Aptose Biosciences,APTO,$20.43 M,$2.79,0.36%,,🇨🇦 Canada
345,"Almaden Minerals
",AAU,$18.53 M,$0.14,0.66%,,🇨🇦 Canada
346,East Side Games,EAGR.TO,$16.44 M,$0.20,6.67%,,🇨🇦 Canada
347,Sphere 3D,ANY,$11.9 M,$1.00,1.96%,,🇨🇦 Canada
348,Greenbrook TMS,GBNH,$11.54 M,$0.27,0.74%,,🇨🇦 Canada
349,Playgon Games,DEAL.V,$11.43 M,$0.04000,0.00%,,🇨🇦 Canada
350,Titan Medical,TMD.TO,$10.97 M,$0.10,8.00%,,🇨🇦 Canada
351,"IMV
",IMV,$9.8 M,$0.82,0.00%,,🇨🇦 Canada
352,DAVIDsTEA,DTEAF,$9.31 M,$0.35,2.78%,,🇨🇦 Canada
353,"Liquid Media Group
",YVR,$9.17 M,$0.43,0.00%,,🇨🇦 Canada
354,Zoomd Technologies,ZOMD.V,$6 M,$0.06000,13.33%,,🇨🇦 Canada
355,Orosur Mining,OMI.V,$5.43 M,$0.03000,33.33%,,🇨🇦 Canada
356,Lucy Scientific Discovery,LSDI,$5.11 M,$0.29,1.05%,,🇨🇦 Canada
357,Field Trip Health,FTHW.V,$3.7 M,$0.04000,0.00%,,🇨🇦 Canada
358,Wolverine Energy and Infrastructure,WEII.V,$3.57 M,$0.03000,10.00%,,🇨🇦 Canada
359,Versus Systems,VS,$2.45 M,$0.17,1.82%,,🇨🇦 Canada
360,Trillium Gold Mines,TGM.V,$0.77 M,$0.05000,12.50%,,🇨🇦 Canada
361,Kuuhubb,KUU.V,$0.69 M,$0.01000,0.00%,,🇨🇦 Canada
362,"Neptune Wellness Solutions
",NEPT,$0.61 M,$0.72,6.95%,,🇨🇦 Canada
363,Playground Ventures,PLAY.CN,$0.58 M,$0.01000,0.00%,,🇨🇦 Canada
364,Skylight Health Group,SLHG.V,$0.58 M,$0.01000,0.00%,,🇨🇦 Canada
365,Bruush Oral Care (Brüush),BRSH,$0.37 M,$0.24,17.19%,,🇨🇦 Canada
366,"Great Panther Mining
",GPLDF,$0 M,$0.0001000,0.00%,,🇨🇦 Canada
