,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
331,Hewlett Packard Enterprise,HPE,$19.73 B,$15.38,0.52%,,🇺🇸 USA
332,Roblox,RBLX,$19.61 B,$31.81,0.22%,,🇺🇸 USA
333,Markel,MKL,$19.50 B,"$1,471",0.91%,,🇺🇸 USA
334,"Molina Healthcare
",MOH,$19.41 B,$332.95,1.52%,,🇺🇸 USA
335,HEICO,HEI,$19.27 B,$158.41,0.98%,,🇺🇸 USA
336,Wabtec,WAB,$18.99 B,$106.02,0.45%,,🇺🇸 USA
337,"Alnylam Pharmaceuticals
",ALNY,$18.97 B,$151.80,0.26%,,🇺🇸 USA
338,Cloudflare,NET,$18.94 B,$56.69,1.45%,,🇺🇸 USA
339,Symbotic,SYM,$18.91 B,$34.03,4.52%,,🇺🇸 USA
340,Eversource Energy,ES,$18.77 B,$53.79,0.75%,,🇺🇸 USA
341,"ULTA Beauty
",ULTA,$18.77 B,$381.31,0.55%,,🇺🇸 USA
342,M&T Bank,MTB,$18.71 B,$112.75,0.63%,,🇺🇸 USA
343,"Targa Resources
",TRGP,$18.70 B,$83.61,0.01%,,🇺🇸 USA
344,"Live Nation
",LYV,$18.41 B,$80.02,1.81%,,🇺🇸 USA
345,Coinbase,COIN,$18.29 B,$77.12,4.78%,,🇺🇸 USA
346,"Invitation Homes
",INVH,$18.24 B,$29.69,1.43%,,🇺🇸 USA
347,Walgreens Boots Alliance,WBA,$18.21 B,$21.08,0.09%,,🇺🇸 USA
348,Rollins,ROL,$18.20 B,$37.61,2.06%,,🇺🇸 USA
349,Dover,DOV,$18.17 B,$129.95,1.19%,,🇺🇸 USA
350,"Howmet Aerospace
",HWM,$18.17 B,$44.10,1.15%,,🇺🇸 USA
351,PPL,PPL,$18.11 B,$24.57,0.74%,,🇺🇸 USA
352,"Genuine Parts Company
",GPC,$18.06 B,$128.86,1.05%,,🇺🇸 USA
353,Zoom,ZM,$18.05 B,$59.98,0.03%,,🇺🇸 USA
354,Hormel Foods,HRL,$17.78 B,$32.55,1.53%,,🇺🇸 USA
355,"J. B. Hunt
",JBHT,$17.72 B,$171.87,1.27%,,🇺🇸 USA
356,Teledyne,TDY,$17.67 B,$374.59,0.60%,,🇺🇸 USA
357,"Steel Dynamics
",STLD,$17.64 B,$106.51,1.84%,,🇺🇸 USA
358,"Darden Restaurants
",DRI,$17.50 B,$145.53,1.52%,,🇺🇸 USA
359,"International Flavors & Fragrances
",IFF,$17.44 B,$68.35,4.73%,,🇺🇸 USA
360,"EQT Corporation
",EQT,$17.43 B,$42.38,2.91%,,🇺🇸 USA
361,NVR,NVR,$17.37 B,"$5,413",0.20%,,🇺🇸 USA
362,W. R. Berkley,WRB,$17.36 B,$67.42,1.06%,,🇺🇸 USA
363,Blue Owl Capital,OWL,$17.35 B,$12.33,0.33%,,🇺🇸 USA
364,Illumina,ILMN,$17.32 B,$109.42,1.44%,,🇺🇸 USA
365,Cboe,CBOE,$17.29 B,$163.89,0.24%,,🇺🇸 USA
366,Kellogg's,K,$17.27 B,$50.47,0.54%,,🇺🇸 USA
367,Iron Mountain,IRM,$17.23 B,$59.07,1.34%,,🇺🇸 USA
368,Abiomed,ABMD,$17.18 B,$381.02,0.00%,,🇺🇸 USA
369,"McCormick & Company
",MKC,$17.15 B,$63.90,0.19%,,🇺🇸 USA
370,Ventas,VTR,$17.08 B,$42.46,2.19%,,🇺🇸 USA
371,"LPL Financial
",LPLA,$16.97 B,$224.52,0.55%,,🇺🇸 USA
372,"CenterPoint Energy
",CNP,$16.96 B,$26.88,0.04%,,🇺🇸 USA
373,LabCorp,LH,$16.95 B,$199.73,0.79%,,🇺🇸 USA
374,Jacobs Engineering,J,$16.78 B,$133.30,1.60%,,🇺🇸 USA
375,PTC,PTC,$16.68 B,$140.42,0.73%,,🇺🇸 USA
376,Fleetcor,FLT,$16.65 B,$225.17,1.17%,,🇺🇸 USA
377,"Marathon Oil
",MRO,$16.54 B,$27.31,0.55%,,🇺🇸 USA
378,Snap,SNAP,$16.48 B,$10.01,3.20%,,🇺🇸 USA
379,"Tyson Foods
",TSN,$16.48 B,$46.35,0.17%,,🇺🇸 USA
380,Sirius XM,SIRI,$16.44 B,$4.28,2.39%,,🇺🇸 USA
381,Baxter,BAX,$16.42 B,$32.43,1.22%,,🇺🇸 USA
382,FactSet,FDS,$16.40 B,$431.89,1.09%,,🇺🇸 USA
383,Principal,PFG,$16.22 B,$67.68,0.10%,,🇺🇸 USA
384,Hologic,HOLX,$16.20 B,$66.17,1.32%,,🇺🇸 USA
385,"Alexandria Real Estate Equities
",ARE,$16.18 B,$93.13,0.11%,,🇺🇸 USA
386,Expeditors,EXPD,$16.15 B,$109.25,0.25%,,🇺🇸 USA
387,"Warner Music Group
",WMG,$16.15 B,$31.30,0.38%,,🇺🇸 USA
388,"Fifth Third Bank
",FITB,$16.14 B,$23.71,1.41%,,🇺🇸 USA
389,Atmos Energy,ATO,$15.98 B,$107.66,1.15%,,🇺🇸 USA
390,PulteGroup,PHM,$15.86 B,$73.59,1.88%,,🇺🇸 USA
391,"CMS Energy
",CMS,$15.85 B,$54.34,0.46%,,🇺🇸 USA
392,Jabil,JBL,$15.71 B,$122.80,1.98%,,🇺🇸 USA
393,"Tyler Technologies
",TYL,$15.69 B,$372.90,1.39%,,🇺🇸 USA
394,"Akamai
",AKAM,$15.67 B,$103.33,0.74%,,🇺🇸 USA
395,"Cincinnati Financial
",CINF,$15.63 B,$99.67,0.63%,,🇺🇸 USA
396,"Booz Allen Hamilton
",BAH,$15.63 B,$119.93,1.76%,,🇺🇸 USA
397,Deckers Brands,DECK,$15.60 B,$597.06,2.14%,,🇺🇸 USA
398,Cooper Companies,COO,$15.43 B,$311.75,0.71%,,🇺🇸 USA
399,Bunge,BG,$15.39 B,$105.98,0.45%,,🇺🇸 USA
400,"CF Industries
",CF,$15.39 B,$79.78,1.79%,,🇺🇸 USA
401,Rivian,RIVN,$15.37 B,$16.22,3.18%,,🇺🇸 USA
402,BioMarin Pharmaceutical,BMRN,$15.32 B,$81.45,0.58%,,🇺🇸 USA
403,"Axon Enterprise
",AXON,$15.28 B,$204.49,1.37%,,🇺🇸 USA
404,"First Solar
",FSLR,$15.21 B,$142.45,4.50%,,🇺🇸 USA
405,"NetApp
",NTAP,$15.19 B,$72.78,2.25%,,🇺🇸 USA
406,"Ball Corporation
",BALL,$15.17 B,$48.15,0.50%,,🇺🇸 USA
407,"UWM Holdings
",UWMC,$15.02 B,$4.85,0.41%,,🇺🇸 USA
408,Formula One Group,FWONK,$14.98 B,$64.69,0.93%,,🇺🇸 USA
409,"Vertiv Holdings
",VRT,$14.97 B,$39.27,2.59%,,🇺🇸 USA
410,Carnival Corporation,CCL,$14.96 B,$11.46,0.53%,,🇺🇸 USA
411,Textron,TXT,$14.89 B,$76.00,0.26%,,🇺🇸 USA
412,Albemarle,ALB,$14.87 B,$126.78,0.49%,,🇺🇸 USA
413,Omnicom,OMC,$14.82 B,$74.91,0.52%,,🇺🇸 USA
414,"Reliance Steel & Aluminum
",RS,$14.77 B,$254.38,0.68%,,🇺🇸 USA
415,"Westlake Chemical
",WLK,$14.72 B,$115.36,0.18%,,🇺🇸 USA
416,"Rocket Companies
",RKT,$14.68 B,$7.39,1.09%,,🇺🇸 USA
417,"Quest Diagnostics
",DGX,$14.62 B,$130.10,0.53%,,🇺🇸 USA
418,Clorox,CLX,$14.59 B,$117.70,0.99%,,🇺🇸 USA
419,Best Buy,BBY,$14.54 B,$66.82,3.61%,,🇺🇸 USA
420,Hubbell,HUBB,$14.48 B,$270.10,4.67%,,🇺🇸 USA
421,IDEX,IEX,$14.47 B,$191.41,0.46%,,🇺🇸 USA
422,Erie Indemnity,ERIE,$14.44 B,$276.19,0.70%,,🇺🇸 USA
423,"Sun Communities
",SUI,$14.43 B,$111.24,1.39%,,🇺🇸 USA
424,"Bentley Systems
",BSY,$14.34 B,$48.64,0.39%,,🇺🇸 USA
425,"Loews Corporation
",L,$14.29 B,$64.01,1.72%,,🇺🇸 USA
426,"Essex Property Trust
",ESS,$14.21 B,$213.92,1.85%,,🇺🇸 USA
427,"Paycom
",PAYC,$14.19 B,$244.97,2.05%,,🇺🇸 USA
428,Fox Corporation,FOX,$14.18 B,$27.91,2.53%,,🇺🇸 USA
429,"Texas Pacific Land Trust
",TPL,$14.17 B,"$1,846",0.52%,,🇺🇸 USA
430,Mid-America Apartment Communities,MAA,$14.15 B,$118.15,0.54%,,🇺🇸 USA
431,"Align Technology
",ALGN,$14.12 B,$184.59,1.15%,,🇺🇸 USA
432,Waters Corporation,WAT,$14.09 B,$238.53,0.77%,,🇺🇸 USA
433,"Avery Dennison
",AVY,$14.02 B,$174.07,0.83%,,🇺🇸 USA
434,"Huntington Bancshares
",HBAN,$13.97 B,$9.65,0.94%,,🇺🇸 USA
435,"Magellan Midstream Partners
",MMP,$13.94 B,$69.00,0.67%,,🇺🇸 USA
436,"Watsco
",WSO,$13.87 B,$348.89,0.75%,,🇺🇸 USA
437,"Skyworks Solutions
",SWKS,$13.82 B,$86.74,0.34%,,🇺🇸 USA
438,"Packaging Corporation of America
",PKG,$13.76 B,$153.05,0.89%,,🇺🇸 USA
439,Expedia Group,EXPE,$13.66 B,$95.29,0.36%,,🇺🇸 USA
440,"Northern Trust
",NTRS,$13.64 B,$65.91,1.21%,,🇺🇸 USA
441,"Regions Financial
",RF,$13.64 B,$14.53,2.18%,,🇺🇸 USA
442,Leidos,LDOS,$13.61 B,$99.12,7.99%,,🇺🇸 USA
443,Snap-on,SNA,$13.61 B,$257.94,1.36%,,🇺🇸 USA
444,"Builders FirstSource
",BLDR,$13.56 B,$108.52,1.18%,,🇺🇸 USA
445,"AMH (American Homes 4 Rent)
",AMH,$13.53 B,$32.74,1.68%,,🇺🇸 USA
446,Southwest Airlines,LUV,$13.25 B,$22.23,1.24%,,🇺🇸 USA
447,Entegris,ENTG,$13.21 B,$88.04,0.57%,,🇺🇸 USA
448,Lennox,LII,$13.16 B,$370.54,1.41%,,🇺🇸 USA
449,Dynatrace,DT,$13.11 B,$44.71,1.68%,,🇺🇸 USA
450,Ovintiv,OVV,$13.09 B,$48.00,1.03%,,🇺🇸 USA
451,"Conagra Brands
",CAG,$13.07 B,$27.36,0.48%,,🇺🇸 USA
452,"Stanley Black & Decker
",SWK,$13.03 B,$85.05,0.96%,,🇺🇸 USA
453,Lamb Weston,LW,$13.01 B,$89.80,0.31%,,🇺🇸 USA
454,Western Digital,WDC,$13.01 B,$40.15,3.95%,,🇺🇸 USA
455,Equity LifeStyle Properties,ELS,$12.86 B,$65.80,0.14%,,🇺🇸 USA
456,Teradyne,TER,$12.82 B,$83.27,0.23%,,🇺🇸 USA
457,DraftKings,DKNG,$12.81 B,$27.62,2.60%,,🇺🇸 USA
458,Corebridge Financial,CRBG,$12.71 B,$20.00,0.65%,,🇺🇸 USA
459,AppLovin,APP,$12.67 B,$36.44,0.79%,,🇺🇸 USA
460,Supermicro,SMCI,$12.66 B,$239.47,1.20%,,🇺🇸 USA
461,"EPAM Systems
",EPAM,$12.61 B,$217.57,2.27%,,🇺🇸 USA
462,Graco,GGG,$12.54 B,$74.35,0.03%,,🇺🇸 USA
463,Molson Coors,TAP,$12.50 B,$57.77,1.28%,,🇺🇸 USA
464,Albertsons,ACI,$12.49 B,$21.70,0.09%,,🇺🇸 USA
465,"SS&C Technologies
",SSNC,$12.46 B,$50.25,0.46%,,🇺🇸 USA
466,Celanese,CE,$12.46 B,$114.51,0.20%,,🇺🇸 USA
467,"Carlisle Companies
",CSL,$12.36 B,$254.09,0.35%,,🇺🇸 USA
468,Samsara,IOT,$12.34 B,$23.07,0.52%,,🇺🇸 USA
469,Alliant Energy,LNT,$12.33 B,$48.79,0.64%,,🇺🇸 USA
470,"MGM Resorts
",MGM,$12.25 B,$34.92,0.26%,,🇺🇸 USA
471,POOLCORP,POOL,$12.21 B,$315.77,0.27%,,🇺🇸 USA
472,Apache Corporation,APA,$12.20 B,$39.72,0.10%,,🇺🇸 USA
473,Liberty Broadband,LBRDA,$12.17 B,$83.32,2.89%,,🇺🇸 USA
474,Nordson,NDSN,$12.12 B,$212.59,0.20%,,🇺🇸 USA
475,"Gaming and Leisure Properties
",GLPI,$12.11 B,$45.39,2.76%,,🇺🇸 USA
476,Incyte,INCY,$12.08 B,$53.93,3.39%,,🇺🇸 USA
477,Legend Biotech,LEGN,$12.04 B,$66.07,0.66%,,🇺🇸 USA
478,Campbell Soup,CPB,$12.02 B,$40.41,0.02%,,🇺🇸 USA
479,Vistra,VST,$12.02 B,$32.72,0.43%,,🇺🇸 USA
480,"Manhattan Associates
",MANH,$12.00 B,$194.98,3.02%,,🇺🇸 USA
481,News Corp,NWS,$11.93 B,$21.44,0.37%,,🇺🇸 USA
482,Black Knight,BKI,$11.87 B,$75.76,0.00%,,🇺🇸 USA
483,Domino's Pizza,DPZ,$11.82 B,$338.99,0.08%,,🇺🇸 USA
484,Avantor,AVTR,$11.78 B,$17.43,1.63%,,🇺🇸 USA
485,"RPM International
",RPM,$11.75 B,$91.27,0.67%,,🇺🇸 USA
486,LKQ Corporation,LKQ,$11.75 B,$43.92,1.22%,,🇺🇸 USA
487,Trimble,TRMB,$11.70 B,$47.13,1.66%,,🇺🇸 USA
488,"Celsius Holdings
",CELH,$11.69 B,$152.09,5.56%,,🇺🇸 USA
489,Masco,MAS,$11.69 B,$52.09,0.50%,,🇺🇸 USA
490,"International Paper
",IP,$11.67 B,$33.73,1.02%,,🇺🇸 USA
491,J.M. Smucker Company,SJM,$11.62 B,$113.84,0.17%,,🇺🇸 USA
492,Synchrony,SYF,$11.60 B,$28.05,0.11%,,🇺🇸 USA
493,Avangrid,AGR,$11.55 B,$29.87,2.43%,,🇺🇸 USA
494,"United Airlines Holdings
",UAL,$11.48 B,$35.01,0.60%,,🇺🇸 USA
495,W. P. Carey,WPC,$11.47 B,$53.65,1.71%,,🇺🇸 USA
496,"Chesapeake Energy
",CHK,$11.39 B,$86.08,0.56%,,🇺🇸 USA
497,Franklin Resources,BEN,$11.37 B,$22.79,1.24%,,🇺🇸 USA
498,ZoomInfo,ZI,$11.34 B,$12.96,16.44%,,🇺🇸 USA
499,AspenTech,AZPN,$11.33 B,$177.75,0.61%,,🇺🇸 USA
