,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
76,Charles Schwab,SCHW,$94.77 B,$52.04,2.54%,,🇺🇸 USA
77,Marsh & McLennan Companies,MMC,$93.51 B,$189.65,0.73%,,🇺🇸 USA
78,Vertex Pharmaceuticals,VRTX,$93.45 B,$362.11,1.30%,,🇺🇸 USA
79,Prologis,PLD,$93.09 B,$100.75,1.89%,,🇺🇸 USA
80,Progressive,PGR,$92.49 B,$158.09,1.87%,,🇺🇸 USA
81,Intuitive Surgical,ISRG,$92.32 B,$262.22,1.44%,,🇺🇸 USA
82,Cigna,CI,$91.51 B,$309.20,1.30%,,🇺🇸 USA
83,BlackRock,BLK,$91.16 B,$612.28,0.85%,,🇺🇸 USA
84,Mondelez,MDLZ,$90.07 B,$66.21,0.35%,,🇺🇸 USA
85,Automatic Data Processing,ADP,$89.84 B,$218.22,0.99%,,🇺🇸 USA
86,CVS Health,CVS,$88.63 B,$69.01,1.47%,,🇺🇸 USA
87,Uber,UBER,$88.44 B,$43.28,1.29%,,🇺🇸 USA
88,Regeneron Pharmaceuticals,REGN,$84.66 B,$779.89,0.29%,,🇺🇸 USA
89,American Tower,AMT,$83.06 B,$178.19,3.21%,,🇺🇸 USA
90,Schlumberger,SLB,$79.50 B,$55.66,1.31%,,🇺🇸 USA
91,Analog Devices,ADI,$78.39 B,$157.33,0.93%,,🇺🇸 USA
92,Lam Research,LRCX,$77.52 B,$588.22,0.81%,,🇺🇸 USA
93,CME Group,CME,$76.79 B,$213.46,1.01%,,🇺🇸 USA
94,Citigroup,C,$75.57 B,$39.49,1.44%,,🇺🇸 USA
95,"Palo Alto Networks
",PANW,$75.53 B,$243.02,1.87%,,🇺🇸 USA
96,Airbnb,ABNB,$75.47 B,$118.29,1.15%,,🇺🇸 USA
97,Boston Scientific,BSX,$74.95 B,$51.19,2.28%,,🇺🇸 USA
98,EOG Resources,EOG,$73.51 B,$126.25,0.64%,,🇺🇸 USA
99,Micron Technology,MU,$73.42 B,$66.87,1.21%,,🇺🇸 USA
100,Southern Company,SO,$73.39 B,$67.30,0.76%,,🇺🇸 USA
101,Becton Dickinson,BDX,$73.33 B,$252.78,0.67%,,🇺🇸 USA
102,Zoetis,ZTS,$72.26 B,$157.00,0.24%,,🇺🇸 USA
103,Synopsys,SNPS,$71.39 B,$469.44,1.84%,,🇺🇸 USA
104,Northrop Grumman,NOC,$71.08 B,$471.43,0.59%,,🇺🇸 USA
105,Altria Group,MO,$71.04 B,$40.17,0.20%,,🇺🇸 USA
106,Duke Energy,DUK,$68.50 B,$88.89,1.13%,,🇺🇸 USA
107,Equinix,EQIX,$68.50 B,$729.64,2.00%,,🇺🇸 USA
108,Fiserv,FI,$68.27 B,$113.75,0.72%,,🇺🇸 USA
109,Illinois Tool Works ,ITW,$67.43 B,$224.12,0.24%,,🇺🇸 USA
110,Blackstone Group,BX,$66.67 B,$92.35,0.03%,,🇺🇸 USA
111,Waste Management,WM,$66.18 B,$164.33,0.97%,,🇺🇸 USA
112,General Dynamics,GD,$65.85 B,$241.31,0.97%,,🇺🇸 USA
113,Cadence Design Systems,CDNS,$65.25 B,$239.85,2.62%,,🇺🇸 USA
114,Humana,HUM,$64.88 B,$523.69,1.10%,,🇺🇸 USA
115,KLA,KLAC,$63.84 B,$469.70,2.21%,,🇺🇸 USA
116,Vmware,VMW,$62.89 B,$145.65,0.66%,,🇺🇸 USA
117,Air Products and Chemicals,APD,$62.74 B,$282.44,0.62%,,🇺🇸 USA
118,Arista Networks,ANET,$62.03 B,$200.37,14.03%,,🇺🇸 USA
119,KKR & Co.,KKR,$61.98 B,$55.40,0.62%,,🇺🇸 USA
120,Colgate-Palmolive,CL,$61.85 B,$75.12,1.68%,,🇺🇸 USA
121,McKesson,MCK,$61.42 B,$455.36,1.32%,,🇺🇸 USA
122,Intercontinental Exchange,ICE,$61.36 B,$107.44,1.33%,,🇺🇸 USA
123,Sherwin-Williams,SHW,$60.97 B,$238.21,1.19%,,🇺🇸 USA
124,HCA Healthcare,HCA,$60.52 B,$226.14,1.25%,,🇺🇸 USA
125,Marathon Petroleum,MPC,$60.47 B,$151.25,2.99%,,🇺🇸 USA
126,FedEx,FDX,$60.36 B,$240.10,1.39%,,🇺🇸 USA
127,Charter Communications,CHTR,$59.58 B,$402.80,3.34%,,🇺🇸 USA
128,CSX Corporation,CSX,$58.98 B,$29.85,1.53%,,🇺🇸 USA
129,PayPal,PYPL,$56.87 B,$51.80,1.47%,,🇺🇸 USA
130,Enterprise Products,EPD,$56.55 B,$26.04,1.51%,,🇺🇸 USA
131,Moody's,MCO,$56.36 B,$308.00,0.55%,,🇺🇸 USA
132,Marriott International,MAR,$56.23 B,$188.56,0.25%,,🇺🇸 USA
